epoch	accuracy	loss	val_accuracy	val_f1	val_loss
0	0.903615	0.23742850430567766	0.9139449596405029	0.915554583242179	0.22157271079195426
1	0.9525777	0.12719143994448287	0.9153940677642822	0.9172030107996072	0.22354067851878323
2	0.9713652	0.07804467282891864	0.9166201949119568	0.9166480944952085	0.254749187126054
3	0.9815436	0.05222635080443408	0.9180693626403809	0.9182333963733451	0.30735354833335304
4	0.9866544	0.040030107383987976	0.9182922840118408	0.9195477993634068	0.33575966891210485
5	0.9894905	0.031105789700299973	0.9204102158546448	0.922340656950185	0.38665161488236294
6	0.9910885	0.02753208480125268	0.9169546365737915	0.9168248297421012	0.4224214708126891
7	0.9923554	0.022281512214317893	0.9166201949119568	0.9183584370224841	0.4861801156938927
8	0.99314725	0.023698896687729315	0.9177349209785461	0.9194674814491489	0.5116638652575358
9	0.99421257	0.017895990899271283	0.9187381267547607	0.9193316366050681	0.5160709938153971
10	0.9944573	0.016820862582141764	0.9206331372261047	0.9221687800612156	0.5455120357293884
11	0.9954363	0.01593497385323411	0.9194069504737854	0.9217617141002057	0.6186559898543597
12	0.99504757	0.016147292794626025	0.9226396083831787	0.9241198338071288	0.6178337691055985
13	0.9954939	0.014882856694978802	0.9211905002593994	0.922110829569241	0.645622322877024
14	0.9956954	0.01477547422693483	0.9175119996070862	0.9183583406884378	0.6960328400670457
15	0.99641526	0.013446874773314611	0.9195184707641602	0.9194016521544989	0.7405825901429803
16	0.9962857	0.012311089003621007	0.9182922840118408	0.9183650740616995	0.7766129999333744
17	0.99644405	0.01284959498573629	0.9215249419212341	0.9211292852341474	0.7982478667024551
18	0.996588	0.013518961838503938	0.9201872944831848	0.9216287215411558	0.7873207757871227
19	0.9970775	0.010670279906578968	0.921970784664154	0.9223946784922394	0.8152142970574435
20	0.99732226	0.009275993025076432	0.9205216765403748	0.9224747200173969	0.8779484193877792
21	0.9971063	0.010974607084455627	0.9190725684165955	0.9209666884389288	0.944913587510795
22	0.9970775	0.010025639002898833	0.9177349209785461	0.9163265306122449	0.9368623725062205
23	0.99730784	0.009425016751421992	0.9192954897880554	0.9205268935236004	0.9263884626766198
24	0.9973366	0.011068564342611602	0.9150596261024475	0.9140924464487035	1.0090765292044608
25	0.9974662	0.01013467387500761	0.9217478632926941	0.9224652087475149	0.9493350836728383
26	0.9975526	0.010505645273265956	0.9206331372261047	0.9218955682316805	1.04932846594061
27	0.9978837	0.009209935242775647	0.9201872944831848	0.9213186813186812	1.0367975062472783
28	0.99778295	0.01101928579074805	0.9189611077308655	0.920589841616603	1.116323573124207
29	0.99761015	0.009864120785544757	0.9199643135070801	0.9222943722943724	1.1471474848195193
30	0.9976246	0.009978581443691422	0.9253149032592773	0.9256876663708961	1.0908468463468957
31	0.9982724	0.007427071339957612	0.9180693626403809	0.9185956362830877	1.14356675277488
32	0.99807084	0.008547019928399933	0.9213019609451294	0.9229930191972076	1.2031818383236734
33	0.99858916	0.006637274681016535	0.9198528528213501	0.9212917350848385	1.2727062467414918
34	0.9979413	0.010312480589387317	0.9234198927879333	0.9244639912039582	1.2033678448460028
35	0.99811405	0.008812704888568636	0.9218593239784241	0.9237794933130369	1.3365962480149032
36	0.99773973	0.01026485529225904	0.9213019609451294	0.9235599826764833	1.3898203135322365
37	0.99814284	0.008767618991177359	0.9237543344497681	0.9242860305512509	1.3243259361916364
38	0.9982004	0.00746584765283159	0.9213019609451294	0.9208697601434657	1.3663470572528917
39	0.9982868	0.00968001736822181	0.9190725684165955	0.9185002245172879	1.411480518144377
40	0.9987475	0.006601139321272801	0.9230855107307434	0.9235711120957023	1.3669399567811904
41	0.9986323	0.00675654061563369	0.9194069504737854	0.9188825311342982	1.4036980474147822
42	0.99854594	0.008068887343237591	0.9224166870117188	0.9243971323050185	1.4505345149134654
43	0.99841636	0.00833632536394304	0.9206331372261047	0.920800889877642	1.4665454015588537
44	0.998258	0.009829492068036377	0.9189611077308655	0.9219370772039084	1.5084647535614637
45	0.9986899	0.00775349482944718	0.921970784664154	0.9228565131143928	1.5044791050289834
46	0.9987475	0.007000280276376835	0.9205216765403748	0.9209621993127148	1.4755630865680338
47	0.99851716	0.008312935988147328	0.9202987551689148	0.9202987403856874	1.473991634531242
48	0.9983876	0.008397565735834802	0.924088716506958	0.9252387748380722	1.634527675044366
49	0.9986323	0.009217378280121402	0.9225281476974487	0.9232637738765596	1.5832783292869037
